MEN_DESK_FILE_DUMP_STUDY	スクリプトを保存
TOT_DESK_FILE_DUMP_STUDY	physonスクリプトを保存
TLT_STUDY_PROPERTIES	スタディのプロパティ
PRP_AUTHOR	作成者
CAPTION	環境設定
PREF_TAB_GENERAL	一般
B	B　(太字)
I	I　(斜体）
U	U　(下線)
PREF_GROUP_OCCVIEWER	OCC 3D　Viewer
PREF_GROUP_VTKVIEWER	VTK 3D Viewer
PREF_GROUP_PLOT2DVIEWER	Plot 2D Viewer
Single Color	単色
Tile	並べる
Stretch	伸縮
PREF_ZOOMING_AT_CENTER	画面の中心を基準に
PREF_ZOOMING_AT_CURSOR	カーソルを中心に
PREF_LINES	ライン
PREF_BROWSE_TO_YHE_PUBLISHED_OBJECT	新オブジェクトを参照
PREF_BROWSE_NEVER	なし
PREF_BROWSE_AFTER_APPLY_AND_CLOSE_ONLY	適用して閉じるをした後のみ
PREF_BROWSE_ALWAYS	適用毎に
NEW_WINDOW_0	GL 2D view
NEW_WINDOW_1	Plot 2D View
NEW_WINDOW_2	OCC 3D　View
NEW_WINDOW_3	VTK 3D View
NEW_WINDOW_4	QxGraph 2D view
APP_NAME,ABOUT_VERSION,ABOUT_COPYRIGHT<ABOUT_LICENSE	一般情報は訳す必要なし
GEOM_POINT_TITLE	ポイントの作成
GEOM_COORDINATES	座標
GEOM_LINE_TITLE	線の作成
GEOM_CIRCLE_TITLE	円の作成
GEOM_CENTER_DEFAULT	デフォルトでは原点
GEOM_AXIS_DEFAULT	デフォルトでZ軸
GEOM_ELLIPSE_TITLE	楕円の作成
ORIGIN_DEFAULT	デフォルトで原点
Z_AXIS_DEFAULT	デフォルトでZ軸
X_AXIS_DEFAULT	デフォルトでX軸
GEOM_ARC_TITLE	円弧の作成
GEOM_POINT_I	始点
GEOM_POINT_I	終点
GEOM_REVERSE	反転
GEOM_CURVE_TITLE	曲線の作成
GEOM_BUILD_CLOSED_WIRE	閉じたワイヤーを構築
Apply and Close	適用して閉じる
GEOM_SKETCHER_WPLANE	平面を選択します
MEN_3DSKETCH	３D スケッチ
GEOM_VECTOR_TITLE	ベクトルの作成
GEOM_COORDINATES	座標
GEOM_PLANE_TITLE	平面の作成
GEOM_PLANE_PV	ポイントとベクトル
CAPTION	ローカル座標系
MEN_PRIMITIVES	基本図形
GEOM_BOX_TITLE	ボックスの作成
GEOM_BOX_OBJ	寸法
GEOM_CYLINDER_TITLE	円柱の作成
GEOM_BOX_OBJ	寸法
GEOM_BASE_POINT	基準点
GEOM_SPHERE_TITLE	球の作成
GEOM_TORUS_TITLE	円環の作成
GEOM_BOX_OBJ	寸法
GEOM_BASE_POINT	基準点
MEN_CONE	円錐
GEOM_CONE_TITLE	円錐の作成
GEOM_BOX_OBJ	寸法
GEOM_BASE_POINT	基準点
GEOM_RECTANGLE	四角形の作成
GEOM_BOX_OBJ	寸法
GEOM_DISK_TITLE	ディスクの作成
MEN_PIPETSHAPE	T型パイプ
GEOM_PIPE_TSHAPE_TITLE	T型パイプの作成
MEN_EXTRUSION	面の押出し
GEOM_EXTRUSION_TITLE	面の押出し
GEOM_BOTHWAY	両方向
GEOM_REVERSE	反転
GEOM_SCALE_PRISM	面のサイズを変えながら押し出す
